imageurl,name,redirect,area,class,rateon99,rates,sold
https://static.99acres.com/images/locationREI/defaultLocality.png,Wakhari,https://www.99acres.com/property-rates-and-price-trends-in-wakhari-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 3,403 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Mordewadi,https://www.99acres.com/property-rates-and-price-trends-in-mordewadi-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 3,444 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Alandi Devachi,https://www.99acres.com/property-rates-and-price-trends-in-alandi-devachi-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 4,755 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Pimpri Colony,https://www.99acres.com/property-rates-and-price-trends-in-pimpri-colony-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 6,666 /sq.ft",7
https://static.99acres.com/images/locationREI/defaultLocality.png,Kadam Wasti,https://www.99acres.com/property-rates-and-price-trends-in-kadam-wasti-pune-prffid#registry-transaction-prt,East Pune,,NA,"₹ 6,499 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Purnanagar,https://www.99acres.com/property-rates-and-price-trends-in-purnanagar-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 6,737 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Uravade,https://www.99acres.com/property-rates-and-price-trends-in-uravade-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 5,834 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Bhujbal Vasti,https://www.99acres.com/property-rates-and-price-trends-in-bhujbal-vasti-pune-prffid#registry-transaction-prt,West Pune,,NA,"₹ 8,517 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Baner Sus,https://www.99acres.com/property-rates-and-price-trends-in-baner-sus-pune-prffid#registry-transaction-prt,West Pune,MID-SEGMENT,"₹6,900/ sq.ft","₹ 10,041 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Mseb colony,https://www.99acres.com/property-rates-and-price-trends-in-mseb-colony-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 6,651 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Dashrath Nagar,https://www.99acres.com/property-rates-and-price-trends-in-dashrath-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 10,814 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Lavale,https://www.99acres.com/property-rates-and-price-trends-in-lavale-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 7,873 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Sanaswadi,https://www.99acres.com/property-rates-and-price-trends-in-sanaswadi-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 4,130 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Mandai,https://www.99acres.com/property-rates-and-price-trends-in-mandai-pune-prffid#registry-transaction-prt,Central Pune,,NA,"₹ 8,282 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Veerbhadra Nagar,https://www.99acres.com/property-rates-and-price-trends-in-veerbhadra-nagar-pune-prffid#registry-transaction-prt,West Pune,,NA,"₹ 10,646 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Vidyanagar,https://www.99acres.com/property-rates-and-price-trends-in-vidya-nagar-pune-prffid#registry-transaction-prt,North Pune,,NA,"₹ 6,344 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Sambhaji Nagar,https://www.99acres.com/property-rates-and-price-trends-in-sambhaji-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 6,109 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Khed,https://www.99acres.com/property-rates-and-price-trends-in-khed-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 4,519 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Indapur,https://www.99acres.com/property-rates-and-price-trends-in-indapur-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 3,389 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Sud Nagar,https://www.99acres.com/property-rates-and-price-trends-in-sud-nagar-pune-prffid#registry-transaction-prt,Central Pune,,NA,"₹ 5,991 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Khadkale,https://www.99acres.com/property-rates-and-price-trends-in-khadkale-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 5,637 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Tandulwadi,https://www.99acres.com/property-rates-and-price-trends-in-tandulwadi-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 2,852 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Rui,https://www.99acres.com/property-rates-and-price-trends-in-rui-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 2,851 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Harishchandri,https://www.99acres.com/property-rates-and-price-trends-in-harishchandri-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 3,382 /sq.ft",6
https://static.99acres.com/images/locationREI/defaultLocality.png,Ingawale Nagar,https://www.99acres.com/property-rates-and-price-trends-in-ingawale-nagar-pune-prffid#registry-transaction-prt,Rest of Pune,,NA,"₹ 2,982 /sq.ft",5
https://static.99acres.com/images/locationREI/defaultLocality.png,Mahadev Nagar,https://www.99acres.com/property-rates-and-price-trends-in-mahadev-nagar-pune-prffid#registry-transaction-prt,South Pune,,NA,"₹ 6,469 /sq.ft",5
https://static.99acres.com/images/locationREI/defaultLocality.png,Gokul Nagar,https://www.99acres.com/property-rates-and-price-trends-in-gokul-nagar-pune-prffid#registry-transaction-prt,North Pune,,NA,"₹ 6,443 /sq.ft",5
https://static.99acres.com/images/locationREI/defaultLocality.png,Bhairav Nagar,https://www.99acres.com/property-rates-and-price-trends-in-bhairav-nagar-pune-prffid#registry-transaction-prt,North Pune,,NA,"₹ 7,811 /sq.ft",5
